University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
The University of Sydney,Australia,-,Creative Writing: Theory and Practice,ENGLxxxx,-
The University of Sydney,Australia,-,Democracy and Dictatorship,POLI3010,-
The University of Sydney,Australia,-,Developmental Psychology,PSYC2009,-
The University of Sydney,Australia,-,Gender and Politics in the Arab World,LCOMxxxx,-
The University of Sydney,Australia,-,High Renaissance Art,ARTHxxxx/FINExxxx,-
The University of Sydney,Australia,-,Human Communication Development,LINGxxxx,-
The University of Sydney,Australia,-,International Security in 21st Century,POLIxxxx,-
The University of Sydney,Australia,-,Introduction to Crime and Criminology,SOCIxxxx,-
The University of Sydney,Australia,-,Introduction to International Relations,POLI2106,-
The University of Sydney,Australia,-,Introductory to Sustainability,GEOGxxxx,-
The University of Sydney,Australia,-,Islamic Art and Architecture,ARTHxxxx/FINExxxx,-
The University of Sydney,Australia,-,Japanese Language and Identity,JAPNxxxx,-
The University of Sydney,Australia,-,"Language, Brain and Mind",LINGxxxx,-
The University of Sydney,Australia,-,Learn to Read Latin 1,EUSTxxxx,-
The University of Sydney,Australia,-,Literary and Textual Theories,ENGLxxxx,-
The University of Sydney,Australia,-,Love in Different Languages,CLITxxxx,-
The University of Sydney,Australia,-,Making Policy in Political Context,POLI3027,-
The University of Sydney,Australia,-,Media Politics and Political Communication,POLIxxxx,-
The University of Sydney,Australia,-,Music Performance,MUSIxxxx,-
The University of Sydney,Australia,-,Postcolonial Modernism/Modernities,ENGLxxxx,-
The University of Sydney,Australia,-,Psychology of Music,MUSIxxxx,-
The University of Sydney,Australia,-,"Reality, Ethics and Beauty",PHILxxxx,-
The University of Sydney,Australia,-,Screen Cultures and Gender: Film to Apps,CLITxxxx,-
The University of Sydney,Australia,-,Social Justice Practice,SOCIxxxx,-
The University of Sydney,Australia,-,Sociological Theory,SOCI2001,-
The University of Sydney,Australia,-,Sociology of Terror,SOCIxxxx,-
The University of Sydney,Australia,-,Television Fictions,ENGLxxxx,-
The University of Sydney,Australia,-,"Text, Action and Ideology",ENGLxxxx,-
The University of Sydney,Australia,-,The Life of Texts,ENGLxxxx,-
The University of Sydney,Australia,-,The Literary in Theory,ENGLxxxx,-
The University of Sydney,Australia,-,"Young People, Sex and Sexual Health",SOCIxxxx,-
University of New South Wales,Australia,-,Chinese Media and Communication,SOCI2077,-
University of New South Wales,Australia,-,Justice,GEOG3414,-
University of New South Wales,Australia,-,Qualitative Social Research,SOCI3042,-
University of Innsbruck,Austria,-,Applied Methods of Social Science,POLI2104,-
University of Innsbruck,Austria,-,English Cultural Studies II,ENGLxxxx,-
University of Innsbruck,Austria,-,European Integration - Introductory Level,POLI3127,-
University of Salzburg,Austria,-,Black Masculinities from Antebellum Literature to the Harlem Renaissance,ENGLxxxx,-
University of Salzburg,Austria,-,Black Women’s Writing,ENGLxxxx,-
University of Salzburg,Austria,-,Culture – Communication – Language (Bilingualism and Multilingualism),LINGxxxx,-
University of Salzburg,Austria,-,English Linguistics 2,ENGLxxxx,-
University of Salzburg,Austria,-,Gender and Race in American Opera,ENGLxxxx,-
University of Salzburg,Austria,-,"German as a Foreign Language, Basic Level II, A2",GRMN2002,-
University of Salzburg,Austria,-,German Intensive Language Course for Exchange Students (Basic Level),GRMNxxxx,-
University of Salzburg,Austria,-,"Hard-Boiled Novel, Film Noir and Transatlantic Culture",ENGLxxxx,-
University of Salzburg,Austria,-,History of American Literature,ENGLxxxx,-
University of Salzburg,Austria,-,Introduction to English Linguistics,ENGLxxxx,-
University of Salzburg,Austria,-,Language and Sociocultural Change,LINGxxxx,-
University of Salzburg,Austria,-,Media Communication (The Language and Images of Advertising),LCOMxxxx,-
University of Salzburg,Austria,-,Multimodal Linguistics / Social Semiotics,ENGLxxxx,-
University of Salzburg,Austria,-,Multimodal Linguistics/Social Semiotics,LINGxxxx,-
University of Salzburg,Austria,-,Performing Europe’s Cultural Heritage,ENGLxxxx,-
University of Salzburg,Austria,-,The Mind Behind Language Change,ENGLxxxx,-
University of Salzburg,Austria,-,Urban Social Geography,GEOGxxxx,-
McGill University,Canada,-,"""Compréhension et expression orales"" + ""Intermediate French: Grammar 01""",FREN3001,-
McGill University,Canada,-,Anthropology of Development,SOCIxxxx,-
McGill University,Canada,-,Canadian Cultures: Context and Issues,HISTxxxx,-
McGill University,Canada,-,Canadian English,ENGLxxxx,-
McGill University,Canada,-,Cities in the Modern World,GEOGxxxx,-
McGill University,Canada,-,Economic Geography,GEOG2138,-
McGill University,Canada,-,Environmental Philosophy,PHILxxxx,-
McGill University,Canada,-,Global Places and People,GEOGxxxx,-
McGill University,Canada,-,Introduction to Contemporary Art,ARTHxxxx/FINExxxx,-
McGill University,Canada,-,Introduction to Film Studies,CLITxxxx,-
McGill University,Canada,-,Introduction to Jewish Music,MUSIxxxx,-
McGill University,Canada,-,Introduction to Semantics,ENGLxxxx,-
McGill University,Canada,-,Introduction to Theatre Studies,ENGLxxxx,-
McGill University,Canada,-,Natural Disasters,GEOGxxxx,-
McGill University,Canada,-,Philosophy of Language,PHILxxxx,-
McGill University,Canada,-,Phonetics,LING2004,-
McGill University,Canada,-,Phonology 1,LING2027,-
McGill University,Canada,-,Popular Literary Forms,ENGLxxxx,-
McGill University,Canada,-,Religions of East Asia,BSTCxxxx,-
McGill University,Canada,-,Social Psychology,ARTHxxxx,-
McGill University,Canada,-,Social Psychology,PSYC2020,-
McGill University,Canada,-,Spanish Cinema,SPANxxxx,-
McGill University,Canada,-,Spanish Language Intensive – Intermediate,SPAN2002,-
McGill University,Canada,-,Studies in Communications I:  The Mute in Literature and Film,LCOMxxxx,-
McGill University,Canada,-,Studies in Nineteenth Century Literature: The Roots of Modern African American Literature,ENGLxxxx,-
McGill University,Canada,-,Syntax 1,ENGLxxxx,-
McGill University,Canada,-,Syntax I,LINGxxxx,-
McGill University,Canada,-,The Art of Listening,MUSI1025,-
McGill University,Canada,-,The Twentieth Century: Contemporary Narratives of Slaves,ENGLxxxx,-
McGill University,Canada,-,Theatre History: 19th to 21st Centuries,ENGLxxxx,-
McGill University,Canada,-,Theatre History: 19th to 21st Centuries,HISTxxxx,-
McGill University,Canada,-,World of Chemistry: Food,CHEMxxxx,-
Queen's University,Canada,-,Architecture 1900 to the Present,ARTHxxxx/FINExxxx,-
Queen's University,Canada,-,Beginning Spanish I,SPAN1001,-
Queen's University,Canada,-,Brain and Behavior I,PSYC2022,-
Queen's University,Canada,-,Children’s Literature,ENGLxxxx,-
Queen's University,Canada,-,"Cities: Geography, Planning and Urban Life",GEOGxxxx,-
Queen's University,Canada,-,Cognitive Psychology,PSYC2007,-
Queen's University,Canada,-,Comics and Graphic Novels,ENGLxxxx,-
Queen's University,Canada,-,Contemporary China,HISTxxxx,-
Queen's University,Canada,-,Environments and Society,GEOGxxxx,-
Queen's University,Canada,-,"Gender, Race and Popular Culture",GENDxxxx,-
Queen's University,Canada,-,Geographies of the Global Political Economy,GEOG2136,-
Queen's University,Canada,-,Global Shakespeare,ENGLxxxx,-
Queen's University,Canada,-,Histories of Contemporary Art,ARTHxxxx/FINExxxx,-
Queen's University,Canada,-,Intermediate Writing in Prose,ENGLxxxx,-
Queen's University,Canada,-,Introduction to Cultures,CLITxxxx,-
Queen's University,Canada,-,Introduction to Indigenous Literatures in Canada,ENGLxxxx,-
Queen's University,Canada,-,Introduction to Sexual and Gender Diversity,GENDxxxx,-
Queen's University,Canada,-,Latin America from 1850 to Today: The Modern Era,AMER2060,-
Queen's University,Canada,-,Literature and the Fantastic – the Boundaries of the Human,ENGLxxxx,-
Queen's University,Canada,-,Living Languages,LINGxxxx,-
Queen's University,Canada,-,Media and Popular Culture,LCOMxxxx,-
Queen's University,Canada,-,Phonology,LINGxxxx,-
Queen's University,Canada,-,Religion & Popular Culture,BSTCxxxx,-
Queen's University,Canada,-,Semantics,LING2003,-
Queen's University,Canada,-,Seminar in Literary Interpretation – Jane Eyre and Incidents in the Life of a Slave Girl,ENGLxxxx,-
Queen's University,Canada,-,Syntax,LINGxxxx,-
Queen's University,Canada,-,The African American Experience,AMER2052,-
Queen's University,Canada,-,The Cold War,HISTxxxx,-
Queen's University,Canada,-,The Holocaust,HISTxxxx,-
Queen's University,Canada,-,Weather and Climate,GEOGxxxx,-
Quest University Canada,Canada,-,Democracy and Justice,POLIxxxx,-
Quest University Canada,Canada,-,"Self, Culture, and Society",SOCIxxxx,-
Simon Fraser University,Canada,-,"Across Time, Across Space",ENGLxxxx,-
Simon Fraser University,Canada,-,History and Principles of Rhetoric,ENGLxxxx,-
Simon Fraser University,Canada,-,History of Mathematics,MATH3001,-
Simon Fraser University,Canada,-,International Relations in East Asia,POLI3052,-
Simon Fraser University,Canada,-,Introduction to Fourier Methods and Partial Differential Equations,MATHxxxx,-
Simon Fraser University,Canada,-,Linear Optimization,MATH3901,-
Simon Fraser University,Canada,-,Nineteenth Century Literatures in English,ENGLxxxx,-
Simon Fraser University,Canada,-,Numerical Analysis I,MATH3601,-
Simon Fraser University,Canada,-,Security and Global Governance,POLI3088,-
The University of British Columbia,Canada,-,Advanced Spanish I,SPAN3001,-
The University of British Columbia,Canada,-,Anthropology of Media,SOCI2085,-
The University of British Columbia,Canada,-,Canadian Literature,ENGLxxxx,-
The University of British Columbia,Canada,-,Cognitive Approaches to the Study of Meaning,ENGLxxxx,-
The University of British Columbia,Canada,-,Comics and Graphic Media,ENGLxxxx,-
The University of British Columbia,Canada,-,Computational Tools for Linguistic Analysis,LINGxxxx,-
The University of British Columbia,Canada,-,Consumer Behaviour,MKTG3501,-
The University of British Columbia,Canada,-,Elementary French II,FREN2002,-
The University of British Columbia,Canada,-,English Grammar and Usage,ENGLxxxx,-
The University of British Columbia,Canada,-,Family Context of Human Development,SOCIxxxx,-
The University of British Columbia,Canada,-,Greek and Roman Mythology,EUSTxxxx,-
The University of British Columbia,Canada,-,Intermediate Spanish II,SPAN2002,-
The University of British Columbia,Canada,-,International Finance,FINA2383,-
The University of British Columbia,Canada,-,Introduction to Creative Writing,ENGLxxxx,-
The University of British Columbia,Canada,-,Introduction to Writing for Children and Young Adults,ENGLxxxx,-
The University of British Columbia,Canada,-,Introduction to Writing for the Screen,ENGLxxxx,-
The University of British Columbia,Canada,-,Language Acquisition,LING2036,-
The University of British Columbia,Canada,-,Languages of the World,LINGxxxx,-
The University of British Columbia,Canada,-,"Metaphor, Language and Thought",ENGLxxxx,-
The University of British Columbia,Canada,-,Modern Chinese Fiction in Translation,CHIN2344,-
The University of British Columbia,Canada,-,Modern Chinese Fiction in Translation II,CHIN2358,-
The University of British Columbia,Canada,-,Principles of Literary Studies,ENGLxxxx,-
The University of British Columbia,Canada,-,Queer Partnerships in Art and Art-Making,ARTHxxxx/FINExxxx,-
The University of British Columbia,Canada,-,"Rhetoric of Science, Technology, and Medicine",ENGLxxxx,-
The University of British Columbia,Canada,-,"Rhetoric, Health, and Gender",ENGLxxxx,-
The University of British Columbia,Canada,-,Spanish for Business,SPANxxxx,-
The University of British Columbia,Canada,-,Studies in Grammar,LINGxxxx,-
The University of British Columbia,Canada,-,Studies in Phonology,LINGxxxx,-
The University of British Columbia,Canada,-,The Catastrophic Earth: Natural Disasters,CCST9034,-
The University of British Columbia,Canada,-,The Structure of Modern English: Sentences and Their Uses,ENGLxxxx,-
The University of British Columbia,Canada,-,Varieties of English,ENGLxxxx,-
The University of Western Ontario,Canada,-,History & Civilization of Medieval Islam,HISTxxxx,-
The University of Western Ontario,Canada,-,How Epidemics Change the Way We Live,HISTxxxx,-
The University of Western Ontario,Canada,-,The Two World Wars,HISTxxxx,-
University of Alberta,Canada,-,17th Century Visual Culture,ARTHxxxx/FINExxxx,-
University of Alberta,Canada,-,"History of Art, Design, and Visual Culture in Japan",ARTHxxxx/FINExxxx,-
University of Alberta,Canada,-,"History of Art, Design, and Visual Culture in the Mid-20th Century",ARTHxxxx/FINExxxx,-
University of Alberta,Canada,-,"History of Art, Design, and Visual Culture, 1848-1900",ARTHxxxx/FINExxxx,-
University of Alberta,Canada,-,Introductory Planning History and Practice,GEOG2065,-
University of Calgary ,Canada,-,Buddhist Practice Traditions,BSTCxxxx,-
University of Calgary ,Canada,-,Mahayana Buddhism,BSTCxxxx,-
University of Calgary ,Canada,-,Religious Myths & Worldviews,BSTCxxxx,-
University of Ottawa,Canada,-,Introduction to the Study of Conflicts and Human Rights,POLIxxxx,-
University of Ottawa,Canada,-,Nationalism in Southeast Asia,HISTxxxx,-
University of Ottawa,Canada,-,The Republic,HISTxxxx,-
University of Ottawa,Canada,-,United States 1877 to 1945,HISTxxxx,-
University of Ottawa,Canada,-,Women in Canada,HISTxxxx,-
University of Toronto,Canada,-,Canadian English,ENGLxxxx,-
University of Toronto,Canada,-,Contemporary Latin American Politics,AMER2021,-
University of Toronto,Canada,-,Early Medieval Philosophy,PHILxxxx,-
University of Toronto,Canada,-,English and Chinese Translation: Theory and Practice,CHIN2370,-
University of Toronto,Canada,-,English Words,ENGLxxxx,-
University of Toronto,Canada,-,Fantasy and Horror,ENGLxxxx,-
University of Toronto,Canada,-,Human Nature,PHILxxxx,-
University of Toronto,Canada,-,Introduction to Abnormal Psychology,PSYC2062,-
University of Toronto,Canada,-,Introduction to Cognitive Psychology,PSYC2007,-
University of Toronto,Canada,-,Introduction to Creative Writing,ENGLxxxx,-
University of Toronto,Canada,-,Introduction to Ethics,PHILxxxx,-
University of Toronto,Canada,-,Introduction to Soil Science,GEOGxxxx,-
University of Toronto,Canada,-,Law and Morality,PHILxxxx,-
University of Toronto,Canada,-,The Digital Text,ENGLxxxx,-
University of Toronto,Canada,-,The Graphic Novel,ENGLxxxx,-
University of Toronto,Canada,-,Topics in Political Theory (Privilege and Race in Global Perspective),POLIxxxx,-
University of Toronto,Canada,-,Translation for Business,CHIN2339,-
University of Toronto,Canada,-,Translation Studies in Literature,CHIN2358,-
University of Toronto,Canada,-,Transnational Literatures,GRMNxxxx,-
University of Toronto,Canada,-,Water Resource Management,GEOG2065,-
University of Waterloo,Canada,-,Canada: The Immigrant Experience,CCGL9056,-
University of Waterloo,Canada,-,Critical Discourse Analysis,ENGLxxxx,-
University of Waterloo,Canada,-,Developmental Psychology,PSYC2009,-
University of Waterloo,Canada,-,Educational Psychology,PSYC2035,-
University of Waterloo,Canada,-,Intercultural Communication,LCOMxxxx,-
University of Waterloo,Canada,-,Interpersonal Communication,LCOMxxxx,-
University of Waterloo,Canada,-,Introduction to Rhetorical Studies,ENGLxxxx,-
University of Waterloo,Canada,-,Popular Potter,ENGLxxxx,-
University of Waterloo,Canada,-,Psychopathology,PSYC2062,-
University of Waterloo,Canada,-,Sexuality and Popular Culture,CCHU9039,-
